Index,Date,Price,MAV144,MAV12
5646,21/08/2000,274.6,283.6190972,297.1666667
5647,22/08/2000,273.4,283.534375,296.9916667
5648,23/08/2000,273.2,283.4517361,296.925
5649,24/08/2000,272.6,283.3055556,296.875
5650,25/08/2000,273.7,283.034375,296.9208333
5651,28/08/2000,273.7,282.8774306,297.0583333
5652,29/08/2000,274,282.6371528,297.2083333
5653,30/08/2000,273.3,282.3892361,297.2583333
5654,31/08/2000,277,282.1496528,297.3875
5655,1/09/2000,277,281.9319444,297.625
5656,4/09/2000,276.7,281.7402778,297.65
5657,5/09/2000,275,281.5493056,297.4666667
5658,6/09/2000,274.2,281.3368056,297.3458333
5659,7/09/2000,272.7,281.1225694,297.1875
5660,8/09/2000,272.8,280.896875,297.1333333
5661,11/09/2000,272.6,280.690625,297.0833333
5662,12/09/2000,274.7,280.5006944,297.2541667
5663,13/09/2000,272.5,280.3184028,297.1583333
5664,14/09/2000,273.1,280.1732639,297.1125
5665,15/09/2000,272.6,280.0350694,296.9958333
5666,18/09/2000,273,279.8916667,296.9708333
5667,19/09/2000,271.9,279.7454861,296.5416667
5668,20/09/2000,271.4,279.6170139,296.075
5669,21/09/2000,269.5,279.4850694,295.4791667
5670,22/09/2000,274,279.3819444,295.3916667
5671,25/09/2000,272.9,279.2645833,295.2833333
5672,26/09/2000,274.9,279.1510417,295.4625
5673,27/09/2000,276.2,279.0513889,295.7458333
5674,28/09/2000,276.4,278.9552083,296.0666667
5675,29/09/2000,273.7,278.8371528,295.9833333
5676,2/10/2000,273.1,278.7284722,296.0333333
5677,3/10/2000,272.1,278.6100694,295.95
5678,4/10/2000,271.4,278.4989583,295.8458333
5679,5/10/2000,270.4,278.4052083,295.6291667
5680,6/10/2000,270,278.2958333,295.475
5681,9/10/2000,270,278.190625,295.3583333
5682,10/10/2000,270.5,278.0704861,295.4416667
5683,11/10/2000,272.8,277.9871528,295.3416667
5684,12/10/2000,274,277.9118056,295.4375
5685,13/10/2000,273.3,277.8361111,295.3041667
5686,16/10/2000,271.6,277.7732639,294.925
5687,17/10/2000,270.3,277.7072917,294.4125
5688,18/10/2000,272,277.68125,294.275
5689,19/10/2000,270.3,277.6364583,294.0416667
5690,20/10/2000,270.5,277.5875,293.9041667
5691,23/10/2000,271.5,277.55,293.9125
5692,24/10/2000,270.2,277.4729167,293.8958333
5693,25/10/2000,266.8,277.3857639,293.6291667
5694,26/10/2000,266.4,277.2902778,293.3291667
5695,27/10/2000,263.8,277.1621528,292.7708333
5696,30/10/2000,264.8,277.0388889,292.1041667
5697,31/10/2000,264.5,276.9284722,291.3125
5698,1/11/2000,265.5,276.8180556,290.6666667
5699,2/11/2000,264.9,276.6989583,290.1041667
5700,3/11/2000,264.7,276.5802083,289.6375
