Id,DateTime,Date,Demand
112,3/04/2018 8:00,3/04/2018,6642.76
113,3/04/2018 8:30,3/04/2018,6714.61
114,3/04/2018 9:00,3/04/2018,6787.13
115,3/04/2018 9:30,3/04/2018,6743.56
116,3/04/2018 10:00,3/04/2018,6662.7
117,3/04/2018 10:30,3/04/2018,6591.48
118,3/04/2018 11:00,3/04/2018,6591.15
119,3/04/2018 11:30,3/04/2018,6544.33
120,3/04/2018 12:00,3/04/2018,6522.25
121,3/04/2018 12:30,3/04/2018,6489.94
122,3/04/2018 13:00,3/04/2018,6507.43
123,3/04/2018 13:30,3/04/2018,6564.19
124,3/04/2018 14:00,3/04/2018,6650.96
125,3/04/2018 14:30,3/04/2018,6716.3
126,3/04/2018 15:00,3/04/2018,6767.28
127,3/04/2018 15:30,3/04/2018,6890.84
128,3/04/2018 16:00,3/04/2018,6993.56
129,3/04/2018 16:30,3/04/2018,7147.31
130,3/04/2018 17:00,3/04/2018,7277.83
131,3/04/2018 17:30,3/04/2018,7345.59
132,3/04/2018 18:00,3/04/2018,7369.45
133,3/04/2018 18:30,3/04/2018,7514.79
134,3/04/2018 19:00,3/04/2018,7539.59
135,3/04/2018 19:30,3/04/2018,7329.99
136,3/04/2018 20:00,3/04/2018,7174.49
137,3/04/2018 20:30,3/04/2018,7031.86
138,3/04/2018 21:00,3/04/2018,6816.19
139,3/04/2018 21:30,3/04/2018,6680.19
140,3/04/2018 22:00,3/04/2018,6477.22
141,3/04/2018 22:30,3/04/2018,6367.31
142,3/04/2018 23:00,3/04/2018,6278.1
143,3/04/2018 23:30,3/04/2018,6071.02
144,4/04/2018 0:00,4/04/2018,5788.04
145,4/04/2018 0:30,4/04/2018,5625.02
146,4/04/2018 1:00,4/04/2018,5505.05
147,4/04/2018 1:30,4/04/2018,5405.88
148,4/04/2018 2:00,4/04/2018,5353.2
149,4/04/2018 2:30,4/04/2018,5354.74
150,4/04/2018 3:00,4/04/2018,5337.55
151,4/04/2018 3:30,4/04/2018,5341.16
152,4/04/2018 4:00,4/04/2018,5324.65
153,4/04/2018 4:30,4/04/2018,5392.9
154,4/04/2018 5:00,4/04/2018,5474.28
155,4/04/2018 5:30,4/04/2018,5662.53
156,4/04/2018 6:00,4/04/2018,5835.29
157,4/04/2018 6:30,4/04/2018,6128.15
158,4/04/2018 7:00,4/04/2018,6396.92
159,4/04/2018 7:30,4/04/2018,6639.35
160,4/04/2018 8:00,4/04/2018,6721.75
161,4/04/2018 8:30,4/04/2018,6829.82
162,4/04/2018 9:00,4/04/2018,6866.89
163,4/04/2018 9:30,4/04/2018,6851.51
164,4/04/2018 10:00,4/04/2018,6775.56
165,4/04/2018 10:30,4/04/2018,6660.06
166,4/04/2018 11:00,4/04/2018,6615.91
167,4/04/2018 11:30,4/04/2018,6609.48
168,4/04/2018 12:00,4/04/2018,6710.29
169,4/04/2018 12:30,4/04/2018,6645.62
170,4/04/2018 13:00,4/04/2018,6629.28
171,4/04/2018 13:30,4/04/2018,6705.78
172,4/04/2018 14:00,4/04/2018,6733.58
173,4/04/2018 14:30,4/04/2018,6738.92
174,4/04/2018 15:00,4/04/2018,6796.02
175,4/04/2018 15:30,4/04/2018,6850.14
176,4/04/2018 16:00,4/04/2018,6920.08
177,4/04/2018 16:30,4/04/2018,7049.48
178,4/04/2018 17:00,4/04/2018,7128.6
179,4/04/2018 17:30,4/04/2018,7191.23
180,4/04/2018 18:00,4/04/2018,7256.19
181,4/04/2018 18:30,4/04/2018,7410.23
182,4/04/2018 19:00,4/04/2018,7429.58
183,4/04/2018 19:30,4/04/2018,7238.53
184,4/04/2018 20:00,4/04/2018,7088.6
185,4/04/2018 20:30,4/04/2018,6963.92
186,4/04/2018 21:00,4/04/2018,6730.3
187,4/04/2018 21:30,4/04/2018,6592.31
188,4/04/2018 22:00,4/04/2018,6420.69
189,4/04/2018 22:30,4/04/2018,6334.35
190,4/04/2018 23:00,4/04/2018,6266.65
191,4/04/2018 23:30,4/04/2018,6112.9
192,5/04/2018 0:00,5/04/2018,5819.1
193,5/04/2018 0:30,5/04/2018,5601.7
194,5/04/2018 1:00,5/04/2018,5497.86
195,5/04/2018 1:30,5/04/2018,5396.36
196,5/04/2018 2:00,5/04/2018,5330.58
197,5/04/2018 2:30,5/04/2018,5315.96
198,5/04/2018 3:00,5/04/2018,5273.87
199,5/04/2018 3:30,5/04/2018,5291
200,5/04/2018 4:00,5/04/2018,5290.6
201,5/04/2018 4:30,5/04/2018,5340.71
202,5/04/2018 5:00,5/04/2018,5401.59
203,5/04/2018 5:30,5/04/2018,5588.31
204,5/04/2018 6:00,5/04/2018,5714.09
205,5/04/2018 6:30,5/04/2018,5939.07
206,5/04/2018 7:00,5/04/2018,6195.43
207,5/04/2018 7:30,5/04/2018,6388.62
208,5/04/2018 8:00,5/04/2018,6406.68
209,5/04/2018 8:30,5/04/2018,6440.53
210,5/04/2018 9:00,5/04/2018,6412.93
211,5/04/2018 9:30,5/04/2018,6359.69
212,5/04/2018 10:00,5/04/2018,6335.14
213,5/04/2018 10:30,5/04/2018,6248.74
214,5/04/2018 11:00,5/04/2018,6239.51
215,5/04/2018 11:30,5/04/2018,6296.8
216,5/04/2018 12:00,5/04/2018,6337.03
217,5/04/2018 12:30,5/04/2018,6363.39
218,5/04/2018 13:00,5/04/2018,6430.49
219,5/04/2018 13:30,5/04/2018,6487.69
220,5/04/2018 14:00,5/04/2018,6543.73
221,5/04/2018 14:30,5/04/2018,6658.07
222,5/04/2018 15:00,5/04/2018,6677.31
223,5/04/2018 15:30,5/04/2018,6789.23
224,5/04/2018 16:00,5/04/2018,6888.65
225,5/04/2018 16:30,5/04/2018,7004.06
226,5/04/2018 17:00,5/04/2018,7093.04
227,5/04/2018 17:30,5/04/2018,7192.2
228,5/04/2018 18:00,5/04/2018,7273.31
229,5/04/2018 18:30,5/04/2018,7429.79
230,5/04/2018 19:00,5/04/2018,7463.18
231,5/04/2018 19:30,5/04/2018,7304.85
232,5/04/2018 20:00,5/04/2018,7158.45
233,5/04/2018 20:30,5/04/2018,7031.39
234,5/04/2018 21:00,5/04/2018,6819.29
235,5/04/2018 21:30,5/04/2018,6678.64
236,5/04/2018 22:00,5/04/2018,6431.79
237,5/04/2018 22:30,5/04/2018,6315.08
238,5/04/2018 23:00,5/04/2018,6258.84
239,5/04/2018 23:30,5/04/2018,6036.58
240,6/04/2018 0:00,6/04/2018,5778.43
241,6/04/2018 0:30,6/04/2018,5608.94
242,6/04/2018 1:00,6/04/2018,5475.69
243,6/04/2018 1:30,6/04/2018,5387
244,6/04/2018 2:00,6/04/2018,5316.31
245,6/04/2018 2:30,6/04/2018,5276.58
246,6/04/2018 3:00,6/04/2018,5299.82
247,6/04/2018 3:30,6/04/2018,5284.35
248,6/04/2018 4:00,6/04/2018,5267.41
249,6/04/2018 4:30,6/04/2018,5337.68
250,6/04/2018 5:00,6/04/2018,5396.52
251,6/04/2018 5:30,6/04/2018,5587.13
252,6/04/2018 6:00,6/04/2018,5768.72
253,6/04/2018 6:30,6/04/2018,6013.42
254,6/04/2018 7:00,6/04/2018,6234.6
255,6/04/2018 7:30,6/04/2018,6443.05
256,6/04/2018 8:00,6/04/2018,6404.42
257,6/04/2018 8:30,6/04/2018,6444.17
258,6/04/2018 9:00,6/04/2018,6424.95
259,6/04/2018 9:30,6/04/2018,6389.07
