DateTime,Demand,Price
24/02/2000 20:30,5387.045,33.42
24/02/2000 23:30,5038.03167,35.95
25/02/2000 2:30,3841.56,17.5
25/02/2000 5:30,4012.49667,17.5
25/02/2000 8:30,5614.52333,71.67
25/02/2000 11:30,5684.53,63.37166
25/02/2000 14:30,5560.08167,27.41
25/02/2000 17:30,5362.24333,24.5
25/02/2000 20:30,5022.82333,20.76
25/02/2000 23:30,4938.57333,25.81
26/02/2000 2:30,3721.01167,17.5
26/02/2000 5:30,3729.41167,17.5
26/02/2000 8:30,4756.40333,20.1
26/02/2000 11:30,4983.21833,25.62
26/02/2000 14:30,4733.19833,20.84
26/02/2000 17:30,4815.24333,22.71
26/02/2000 20:30,4782.785,21.77
26/02/2000 23:30,4714.62833,30.7
27/02/2000 2:30,3616.185,17.5
27/02/2000 5:30,3588.135,17.45
27/02/2000 8:30,4277.96167,17.5
27/02/2000 11:30,4604.21167,20.69
27/02/2000 14:30,4468.72333,17.5
27/02/2000 17:30,4613.13833,20.22
27/02/2000 20:30,4736.77667,21.82
27/02/2000 23:30,4588.85,28.63
28/02/2000 2:30,3632.45667,15.73
28/02/2000 5:30,3856.09667,17.37
28/02/2000 8:30,5346.37333,31.1
28/02/2000 11:30,5406.33167,27.74
28/02/2000 14:30,5490.24167,26.03
28/02/2000 17:30,5592.93,34.07
28/02/2000 20:30,5124.71167,22.88
28/02/2000 23:30,4952.96167,31.91
29/02/2000 2:30,3825.62833,22.09
29/02/2000 5:30,4004.62,22.2
29/02/2000 8:30,5565.51833,34.49
29/02/2000 11:30,5636.95167,43.17
29/02/2000 14:30,5508.34333,37.9
29/02/2000 17:30,5530.77667,34.95
29/02/2000 20:30,5225.03333,25.13
29/02/2000 23:30,4922.37167,33.32
1/03/2000 2:30,3751.87833,16.29
1/03/2000 5:30,3942.46833,21.83
1/03/2000 8:30,5516.47667,34.78
1/03/2000 11:30,5615.30167,42.75
1/03/2000 14:30,5581.88167,32.89
1/03/2000 17:30,5553.71333,29.1
1/03/2000 20:30,5196.42333,22.13
1/03/2000 23:30,4929.96833,33.39
2/03/2000 2:30,3794.775,18.61
2/03/2000 5:30,3938.07833,18.37
2/03/2000 8:30,5552.285,33.71
2/03/2000 11:30,5529.03667,34.01
2/03/2000 14:30,5568.50333,41.72
2/03/2000 17:30,5478.44667,33.54
2/03/2000 20:30,5237.605,24.35
2/03/2000 23:30,4908.56833,31.83
3/03/2000 2:30,3692.11,16.1
3/03/2000 5:30,3889.97667,16.93
3/03/2000 8:30,5434.885,32.22
3/03/2000 11:30,5485.47667,28.15
3/03/2000 14:30,5419.465,24.58
3/03/2000 17:30,5287.73,24.38
3/03/2000 20:30,4963.53333,20.72
3/03/2000 23:30,4861.49833,33.76
4/03/2000 2:30,3646.11833,18
4/03/2000 5:30,3662.80833,22.58
4/03/2000 8:30,4696.75167,20.68
4/03/2000 11:30,4787.73833,26.68
4/03/2000 14:30,4553.96,20.55
4/03/2000 17:30,4704.36,20.93
4/03/2000 20:30,4707.51667,21.23
4/03/2000 23:30,4653.57333,31.77
5/03/2000 2:30,3517.765,17.35
5/03/2000 5:30,3478.57167,16.88
5/03/2000 8:30,4228.48167,18
5/03/2000 11:30,4545.81667,20.66
5/03/2000 14:30,4450.71333,20.5
5/03/2000 17:30,4681.94667,21.14
5/03/2000 20:30,4873.73167,31.96
5/03/2000 23:30,4683.99333,34.17
6/03/2000 2:30,3635.93167,16.5
6/03/2000 5:30,3854.55667,17.54
6/03/2000 8:30,5512.76833,83.56
6/03/2000 11:30,5777.94,57.56081
6/03/2000 14:30,5862.72333,57.707
6/03/2000 17:30,5830.985,57.876
6/03/2000 20:30,5439.40667,33.14
6/03/2000 23:30,5061.25,34.5
7/03/2000 2:30,3933.155,18
7/03/2000 5:30,4052.99,18
7/03/2000 8:30,5706.92833,57.9327
7/03/2000 11:30,5784.955,61.4
7/03/2000 14:30,5840.89,58.03062
7/03/2000 17:30,5776.30167,68.97
7/03/2000 20:30,5445.20167,34.22
7/03/2000 23:30,5084.55167,36.92
8/03/2000 2:30,3900.435,18
8/03/2000 5:30,4074.17833,18
8/03/2000 8:30,5667.12167,57.87205
8/03/2000 11:30,5866.45833,58.02506
8/03/2000 14:30,5811.09,79.82
8/03/2000 17:30,5816.50667,54.72
8/03/2000 20:30,5424.71167,28.27
8/03/2000 23:30,5123.69,34.88
9/03/2000 2:30,3924.20833,18
9/03/2000 5:30,4125.49667,18.49
9/03/2000 8:30,5738.48667,57.94963
9/03/2000 11:30,5686.08333,58.32471
9/03/2000 14:30,5689.56167,51.2
9/03/2000 17:30,5679.505,56.67
9/03/2000 20:30,5459.38667,47.24
9/03/2000 23:30,5100.63333,58.46859
10/03/2000 2:30,3901.03167,17.73
10/03/2000 5:30,4100.97167,18
10/03/2000 8:30,5754.665,58.32119
10/03/2000 11:30,5836.14833,61.89
10/03/2000 14:30,5657.00667,58.81605
10/03/2000 17:30,5552.725,59.03881
10/03/2000 20:30,5043.07333,28.77
10/03/2000 23:30,5016.44167,48.28
11/03/2000 2:30,3784.34,18
11/03/2000 5:30,3821.32667,18.83
11/03/2000 8:30,4847.86333,26.04
11/03/2000 11:30,4952.53833,29.48
11/03/2000 14:30,4795.135,22.3
11/03/2000 17:30,4903.24333,24.25
11/03/2000 20:30,4806.86667,25.44
11/03/2000 23:30,4753.08,52.41
12/03/2000 2:30,3588.86667,18
12/03/2000 5:30,3558.46167,18
12/03/2000 8:30,4333.61333,22.28
